system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
134,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.37114431000383,35.7653001431136]}"
135,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.072908209958,36.59399599271386]}"
136,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03356200051356,36.84839888117651]}"
137,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.63012860641548,36.65436277980669]}"
138,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.94543727114144,36.558692202047965]}"
139,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.96349340835224,36.657866209414756]}"
140,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.85775712512952,35.21930411342576]}"
141,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21547084554777,36.8370801085966]}"
142,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0564690402586,36.5913010468615]}"
143,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.13371958041104,36.01835555865007]}"
144,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08153203668554,37.11034761802576]}"
145,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.5140708459891,35.50981927631001]}"
146,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15968546640394,36.900141841541796]}"
147,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89126885950903,36.62849129962405]}"
148,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19273889457769,35.76017974599412]}"
149,0,2.0,74.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.58566199985157,35.475054474814584]}"
150,0,2.0,78.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.47472463654466,36.76054364638962]}"
151,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.58144449229806,35.66693461950251]}"
152,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.82972968826499,35.25245194740977]}"
153,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.12752120495061,35.77823588320492]}"
154,0,2.0,77.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.6140533371116,36.72901277991703]}"
155,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.94076145738217,35.24005519648892]}"
156,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1052475601863,36.833576678988535]}"
157,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13893438334078,36.610435162413246]}"
158,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.85973799303643,36.46113516219258]}"
159,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.17046524981338,36.771862418969526]}"
160,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1250957536835,35.47262902354746]}"
161,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.72526019500374,36.483772707352394]}"
