system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
48,545.0,762.0,1130.0,1343.0,1427.0,1536.0,1800.0,2037.0,1347.0,1825.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5608256753646,35.59120664105124]}"
49,596.0,878.0,1237.5,1581.0,1849.0,2015.5,2219.0,3121.5,2297.0,2283.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4078471567609,34.89564111655749]}"
50,903.5,1356.5,1919.5,2190.5,2311.5,2396.5,2614.5,3291.0,2690.5,2643.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17015293258287,35.479635882763596]}"
51,624.5,878.5,1184.0,1365.0,1451.0,1555.5,1703.5,2347.5,1822.0,1739.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62792982708832,35.725414944498695]}"
52,542.0,871.0,1074.0,1559.0,2150.0,2377.0,2568.0,2303.0,1428.0,2567.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6179585274346,34.80670790342966]}"
53,606.0,934.5,1420.0,1805.5,2086.5,2311.5,2624.5,2748.5,1753.0,2727.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.93730961093908,34.782183896173194]}"
54,518.0,913.0,1164.0,1889.0,2727.0,2986.0,3369.0,2338.0,1351.0,3372.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32474841869798,34.794580647094044]}"
55,682.0,953.0,1378.0,1652.0,1831.0,2028.0,2246.0,3020.0,2020.0,2355.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.11814047763234,34.95304346321273]}"
56,711.0,997.0,1414.0,1753.0,2033.0,2244.0,2497.0,2601.0,1775.0,2482.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50342332870936,35.601177940704964]}"
57,430.0,650.0,988.0,1192.0,1326.0,1451.0,1596.0,1943.0,1254.0,1627.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32097549450468,35.30688985362741]}"
58,659.5,954.0,1330.0,1698.0,1986.0,2167.0,2376.5,3194.5,2365.0,2414.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.15398325746871,35.565874150039065]}"
59,630.0,1047.5,1144.5,1820.0,2717.0,2936.5,3163.5,2830.0,2070.0,3167.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.19818036944739,35.795753031245255]}"
60,891.0,1243.0,1824.0,2120.0,2222.0,2397.0,2642.0,3383.0,2620.0,2717.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.06046863639187,34.88755627900042]}"
61,589.0,847.0,1238.0,1413.5,1551.0,1665.0,1862.0,2157.5,1528.0,1896.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26869354496893,34.84551512370362]}"
62,316.0,518.0,777.0,905.0,1009.0,1110.0,1289.0,1761.0,1175.0,1278.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64760293181054,35.005864401918956]}"
63,681.5,992.5,1489.0,1820.5,2038.5,2251.5,2491.0,3064.0,2065.0,2591.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63331971879303,35.76826458355119]}"
64,396.0,777.0,819.0,1368.5,2109.5,2299.0,2369.0,2253.0,1556.5,2461.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80714372627017,35.348931008924204]}"
65,490.5,710.5,989.0,1176.0,1272.0,1413.0,1603.5,1996.5,1367.0,1592.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71066466475573,35.039281730488206]}"
66,513.0,731.0,998.0,1136.0,1234.0,1280.0,1405.0,1765.0,1323.0,1422.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.34738596385779,35.61465266996676]}"
