system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
2558,3,-0.0,32.0,0.92740995,0.69085175,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.79186867650365,39.280182450322684]}"
2559,3,-0.0,46.0,0.0,0.59621453,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23761272048375,39.53970573590482]}"
2560,3,213.03954,56.0,2.2117052,-1.5205047,3.2539663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08265333397314,39.756379382434446]}"
2561,3,180.0,24.0,2.7802885,0.14195584,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88403582465432,39.177505013347826]}"
2562,3,336.56168,107.0,3.029878,1.7413249,2.938772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.29959647508801,39.74694707195119]}"
2563,3,-0.0,71.0,0.0,1.0694007,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2521654280865,39.67687847978987]}"
2564,3,90.0,46.0,1.2040421,2.0,3.8623955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.11714864088333,39.62809995986218]}"
2565,3,-0.0,100.0,0.92740995,-0.340694,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.25027896598985,39.919423606502136]}"
2566,3,232.13353,44.0,1.5106561,-3.1608832,3.635451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03091037360787,38.96406530184103]}"
2567,3,32.64999,43.0,2.2020288,1.4605678,3.2583554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.93577878501961,38.70939291879314]}"
2568,3,-0.0,37.0,1.8543341,0.65299684,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9395517092129,39.636993281174966]}"
2569,3,-0.0,48.0,0.92740995,0.96845424,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.7500970157921,39.63483732449308]}"
2570,3,-0.0,40.0,0.0,0.9274448,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.25782481437645,39.24892107843533]}"
2571,3,-0.0,60.0,0.0,-0.056782335,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1732035146124,39.677686963545575]}"
2572,3,-0.0,55.0,0.0,-0.1955836,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27534196241677,39.57150609696265]}"
2573,3,232.19432,52.0,1.5127201,0.66246057,3.6340852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2394991825804,39.119024688351644]}"
2574,3,270.0,41.0,1.2036508,0.62460566,3.8627205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81827914585676,39.605462414702366]}"
2575,3,270.0,99.0,1.1924247,0.6561514,3.872094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08022788270603,38.94897360506782]}"
2576,3,78.9596,26.0,4.8317804,2.1861198,2.4706376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81369773790776,38.69834364079847]}"
2577,3,90.0,9.0,1.1917945,0.9305994,3.8726225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.92984990414442,38.91151385772004]}"
2578,3,180.0,12.0,0.92740995,-0.95583594,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.67679448860794,39.067820717156835]}"
2579,3,-0.0,24.0,1.8543341,-0.46687698,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.84280315311324,38.567638766959085]}"
2580,3,-0.0,49.0,0.92740995,-1.1104101,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.05489539169385,39.76284725248011]}"
2581,3,308.0347,41.0,3.0078917,2.6908517,2.9460683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.96677066232172,38.532065481707946]}"
2582,3,180.0,60.0,0.92740995,0.18611987,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17266452544192,39.6763394906194]}"
2583,3,213.0387,52.0,2.211684,0.5772871,3.2539759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88942571635903,39.754223425752556]}"
2584,3,-0.0,59.0,0.92740995,0.03785489,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.21443618615348,39.667176674721375]}"
