system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
48,411.0,609.0,733.0,1038.0,1363.0,1496.0,1659.0,2676.0,2150.0,1769.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091653,37.947667294353565]}"
49,370.0,690.0,443.0,1069.0,3006.0,3711.0,3684.0,1713.0,1128.0,3512.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04820911392656,37.94820628352404]}"
50,403.0,654.5,652.0,1135.0,1841.5,2036.0,2151.0,2184.5,1608.5,2201.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.05818041358029,38.210424514958525]}"
51,264.0,605.0,342.0,1073.0,2336.0,2556.0,2684.0,1758.0,948.0,2740.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27872139011349,38.33331404582608]}"
52,409.0,627.5,674.0,1046.0,1423.5,1550.5,1656.5,1967.5,1525.0,1705.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34815658729407,38.15410014664423]}"
53,296.0,456.0,501.5,875.5,1464.0,1686.0,1849.5,2022.5,1332.5,1913.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.10615044975228,38.23899094099353]}"
54,491.0,702.0,734.5,1129.0,1665.5,1831.0,1977.5,2283.0,1920.0,2033.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3627092948968,38.11071151842126]}"
55,295.5,619.5,370.5,1085.0,2707.5,3063.0,3177.5,1666.5,918.5,3195.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32983095549802,38.13550502026296]}"
56,343.0,523.5,442.0,788.5,1377.5,1502.0,1590.0,1434.0,1043.5,1606.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.42118961989298,37.840677944014935]}"
57,476.0,680.0,776.0,1238.5,1772.5,1939.0,2093.5,2323.5,1615.5,2169.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97733203800954,37.906973611982956]}"
58,327.0,730.0,488.0,1205.0,2416.0,2561.0,2859.0,1933.0,1162.0,2774.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.41616362858377,38.26944382912518]}"
59,380.5,648.0,591.5,1116.0,1686.0,1870.0,2077.5,1927.5,1336.0,2152.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38615532381233,38.169730832587916]}"
60,435.5,795.0,571.5,1268.5,3046.5,3408.0,3588.0,2360.0,1527.5,3526.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19508366288011,38.10478263754607]}"
61,450.0,618.0,716.0,993.0,1344.0,1508.0,1660.0,2072.0,1547.0,1743.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56536922299416,38.43114058026669]}"
62,305.5,663.5,455.0,1285.0,3065.5,3396.5,3613.0,2113.0,1199.5,3636.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24898257992727,38.11502343178503]}"
63,295.0,550.0,609.5,1060.0,1605.5,1772.5,1963.5,2255.5,1546.5,2035.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.25446687744225,39.13236549105039]}"
64,336.5,565.0,516.0,971.5,1774.5,1929.5,2098.5,1885.5,1309.0,2134.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30315099155968,38.19587180735579]}"
65,404.5,694.5,633.0,1186.0,1980.0,2134.0,2232.5,2079.0,1419.0,2354.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26919467381997,38.15733408166707]}"
66,307.0,537.5,469.0,1004.0,1837.0,2016.5,2177.5,1769.0,1133.0,2222.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.26703871713808,38.07891115736343]}"
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97634846547885,38.7348609778275]}"
68,146.0,469.0,236.0,897.0,2762.0,3095.0,3282.0,1454.0,741.0,3199.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.35121543354192,38.41604888349349]}"
69,241.0,465.5,489.0,933.5,1515.5,1789.5,1904.0,2230.5,1407.5,1997.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.40538384517434,38.616013865738495]}"
70,456.0,686.5,852.5,1278.5,1505.0,1669.5,1824.0,2219.0,1685.0,1885.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25922337416624,38.18428354019065]}"
71,355.5,508.5,656.0,903.5,1086.0,1198.0,1319.0,1636.5,1282.0,1373.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34842608187931,38.2252467171465]}"
72,394.0,627.0,516.0,957.0,1614.5,1767.0,1906.5,1870.5,1298.5,1953.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.45083402426893,38.216622890418954]}"
73,381.0,548.0,627.0,945.0,1357.0,1541.0,1650.0,2122.0,1618.0,1791.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3589363707035,38.16568841380938]}"
74,264.0,454.0,644.0,991.0,1370.0,1506.0,1830.0,1860.0,1248.0,1813.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.29947247317665,38.35217866679259]}"
75,184.5,511.0,336.5,975.0,1997.0,2241.0,2506.0,1496.0,906.5,2506.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03941019842404,38.994384263409636]}"
76,410.0,632.0,459.0,1008.0,2254.0,2559.0,2593.0,1905.0,1184.0,2721.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52737048647592,38.235218016800225]}"
77,351.0,663.0,590.0,1182.0,2206.0,2400.5,2613.5,2052.0,1242.5,2626.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.33262030716065,38.28884743926216]}"
78,183.5,479.0,459.0,1042.5,1938.5,2194.5,2448.5,1950.5,1105.5,2544.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.41212120980524,38.444076320358015]}"
