system:index,crop_label,sol_bulk_density,sol_clay_pct,sol_organic_carbon,sol_ph_h2o,sol_sand_pct,sol_texture_class,.geo
597,1,144.0,39.0,4.0,75.0,22.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50256209765668,38.72582312305007]}"
598,1,152.0,36.0,2.0,73.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55673050928908,38.80828846613224]}"
599,1,148.0,29.0,2.0,74.0,33.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74214278393136,39.64587763704528]}"
600,1,131.0,40.0,6.0,67.0,17.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.15042708056367,39.25322402635664]}"
601,1,135.0,35.0,3.0,71.0,27.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17575957157585,39.17695705873489]}"
602,1,147.0,25.0,22.0,73.0,35.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.54568123129442,39.10257655320979]}"
603,1,143.0,38.0,9.0,76.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88847834371443,39.57958196907726]}"
604,1,134.0,41.0,4.0,75.0,20.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.07496859669763,39.49657763682462]}"
605,1,157.0,41.0,5.0,71.0,23.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8830884520097,39.421388647543814]}"
606,1,155.0,29.0,4.0,69.0,35.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.47642112288881,38.95974442303479]}"
607,1,139.0,42.0,4.0,76.0,23.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53544043705546,38.74873016279511]}"
608,1,149.0,29.0,3.0,73.0,30.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.47103123118409,39.125214098369604]}"
609,1,155.0,21.0,4.0,69.0,38.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6020055996087,39.379616986832254]}"
610,1,146.0,26.0,4.0,75.0,30.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.49717220595195,38.910696408521865]}"
611,1,145.0,40.0,6.0,75.0,16.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73971733266424,38.90557601140238]}"
612,1,142.0,43.0,5.0,68.0,22.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.90653448092523,39.35132005538249]}"
613,1,147.0,41.0,4.0,76.0,16.0,2.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.96070289255763,39.38096445975843]}"
614,1,160.0,22.0,3.0,72.0,35.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.46806679074649,39.14892962187036]}"
615,1,157.0,33.0,2.0,78.0,23.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74375975144278,38.875662112441205]}"
616,1,142.0,33.0,5.0,71.0,26.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.46995325284314,39.12036319583536]}"
617,1,138.0,37.0,4.0,72.0,19.0,5.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88066300074259,39.508435398574996]}"
618,1,134.0,34.0,4.0,74.0,27.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0649972970439,39.37530507346848]}"
619,1,126.0,34.0,28.0,75.0,22.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.7801415204496,39.574192077372544]}"
