system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
73,0,129.79381,37.0,1.4488353,0.009463723,3.6772537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.68842061609251,33.593307712675646]}"
74,0,270.0,35.0,2.2270346,-0.2429022,3.2470522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45288234859638,33.64154724343287]}"
75,0,50.093025,35.0,1.4454123,0.41955835,3.6796203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.86089715064347,33.24485121396569]}"
76,0,292.4927,47.0,2.4229517,1.0725552,3.1626441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.94390148289611,34.09295067370292]}"
77,0,309.56137,51.0,1.4559354,-1.1167192,3.672363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14198000304447,34.29614959097076]}"
78,0,90.0,45.0,2.240645,0.39432177,3.2409532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97246790893111,34.161671792938066]}"
79,0,-0.0,56.0,0.0,0.24921136,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50013830682292,34.20991132369529]}"
80,0,90.0,36.0,1.111784,0.20189275,3.9421356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32190798017176,33.47446060058664]}"
81,0,180.0,38.0,0.92740995,0.5205047,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.23818956997367,33.34725915635531]}"
82,0,270.0,43.0,2.2303684,-0.050473187,3.245555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3334962473369,33.7703656551756]}"
83,0,-0.0,56.0,0.92740995,-0.27129337,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69363541902227,33.17801655682719]}"
84,0,270.0,43.0,1.120692,-1.4353312,3.934153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.97947476814724,34.157359879574294]}"
85,0,270.0,36.0,3.340658,1.2744479,2.8409252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50219985769455,33.698680095502866]}"
86,0,309.72086,39.0,1.451054,0.69085175,3.675723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29037711369917,33.81591024008046]}"
87,0,90.0,35.0,2.2198565,-3.0315456,3.250284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.43913812474935,33.361811863958046]}"
88,0,149.04463,41.0,2.1620452,-1.548896,3.2766976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.51334354149948,33.52862901221904]}"
89,0,180.0,35.0,2.7802885,-0.8359621,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61053668095936,33.33944381338347]}"
90,0,90.0,48.0,1.121083,0.14826499,3.933804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62859281817016,34.186734789365005]}"
91,0,-0.0,50.0,0.0,0.81072557,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.5405624946083,33.799471070381074]}"
92,0,-0.0,52.0,0.92740995,-0.60567826,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.16515653737476,34.65457738933445]}"
93,0,230.1687,42.0,1.447699,-0.07570978,3.6780388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.44327494933816,33.47823352477994]}"
94,0,180.0,40.0,1.8543341,1.3123028,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3087027454952,33.82399507763754]}"
95,0,112.342064,59.0,2.4384234,0.74763405,3.1562712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.864939569422,34.71683063852393]}"
96,0,50.13038,35.0,1.4465398,-1.1640378,3.6788402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61754354017549,33.36019489644663]}"
97,0,90.0,54.0,2.2444956,4.3217664,3.2392344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46447061576153,34.306390385209724]}"
98,0,247.44276,41.0,2.4163876,1.2050474,3.1653602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29064660828439,33.822108615540884]}"
99,0,270.0,52.0,1.1174136,0.725552,3.9370835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54972531050632,33.9086163774016]}"
100,0,-0.0,52.0,0.0,0.3911672,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09751339648055,34.53141836388166]}"
101,0,-0.0,41.0,0.92740995,-0.17665616,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28202278155685,33.79866258662537]}"
102,0,292.40894,49.0,2.4315293,-0.2807571,3.159106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.03229570685347,34.44140717241289]}"
103,0,90.0,61.0,1.1276883,-1.1766561,3.927928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75444678947531,34.67775392366473]}"
104,0,180.0,58.0,1.8543341,0.6876972,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.19453144716546,34.401252479212744]}"
105,0,247.29366,35.0,2.401368,-0.9432177,3.1716027,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52412332490891,33.187987856480916]}"
106,0,50.510075,51.0,1.4581361,1.0851735,3.6708522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1309307250498,34.50851132413661]}"
107,0,180.0,33.0,0.92740995,-0.7003155,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49734895516029,33.20658298286219]}"
108,0,201.89166,46.0,2.9959745,1.2492113,2.9500453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31732657222274,33.94823208143127]}"
109,0,149.05518,38.0,2.1618068,-1.6845425,3.276808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.08349967804828,33.49251673779744]}"
110,0,90.0,35.0,1.1086285,0.41009465,3.9449785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.39655798028208,33.22706457134012]}"
111,0,-0.0,60.0,0.0,-1.6435331,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.46779895659462,34.38562179326907]}"
112,0,129.41446,52.0,1.4604706,-2.1955836,3.6692517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01235310754602,34.73138334612667]}"
113,0,254.43127,57.0,3.4515257,-0.16088328,2.8082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71061357789212,33.295516195990025]}"
114,0,31.185549,55.0,2.1672802,0.40694007,3.2742767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.24034552665556,34.30315645018689]}"
115,0,180.0,37.0,1.8543341,-0.7791798,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.231721699928,33.346989661770074]}"
116,0,180.0,34.0,2.7802885,-0.09463722,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77573686170894,33.41247684598238]}"
117,0,90.0,37.0,1.1143084,-0.8044164,3.939867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36637458673567,33.670383164053106]}"
118,0,180.0,32.0,1.8543341,1.466877,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6717119518079,33.19984561823129]}"
119,0,149.11948,39.0,2.160356,0.6845426,3.27748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.16488704278952,33.27099218873356]}"
120,0,247.57706,46.0,2.430089,0.018927446,3.1596992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.98594263819291,34.38319634200194]}"
